nombre,n_concursados,n_aprobados,año
UNIVERSIDAD DE CHILE,211,129,2013
PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,184,115,2013
UNIVERSIDAD DE CONCEPCIÓN,105,61,2013
UNIVERSIDAD DE SANTIAGO DE CHILE,75,42,2013
UNIVERSIDAD AUSTRAL DE CHILE,58,37,2013
PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,54,29,2013
UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,37,23,2013
UNIVERSIDAD ANDRÉS BELLO,32,21,2013
UNIVERSIDAD DE TALCA,31,20,2013
UNIVERSIDAD DE LA FRONTERA,27,16,2013
UNIVERSIDAD CATÓLICA DEL NORTE,29,15,2013
UNIVERSIDAD DIEGO PORTALES,25,13,2013
UNIVERSIDAD DE VALPARAÍSO,27,12,2013
UNIVERSIDAD DE LOS ANDES,23,12,2013
UNIVERSIDAD DEL BÍO-BÍO,27,9,2013
UNIVERSIDAD ADOLFO IBÁÑEZ,13,8,2013
UNIVERSIDAD DE LOS LAGOS,15,6,2013
UNIVERSIDAD DE ANTOFAGASTA,10,6,2013
UNIVERSIDAD DE TARAPACÁ,14,5,2013
UNIVERSIDAD DEL DESARROLLO,11,5,2013
UNIVERSIDAD ALBERTO HURTADO,10,5,2013
UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,10,5,2013
UNIVERSIDAD CATÓLICA DEL MAULE,11,3,2013
UNIVERSIDAD ARTURO PRAT,4,3,2013
UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,5,2,2013
UNIVERSIDAD DE LA SERENA,4,2,2013
UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,3,2,2013
UNIVERSIDAD ARTES Y CIENCIAS SOCIALES,8,1,2013
UNIVERSIDAD CATÓLICA DE TEMUCO,8,1,2013
UNIVERSIDAD CATÓLICA CARDENAL SILVA HENRIQUEZ,3,1,2013
UNIVERSIDAD DE MAGALLANES,3,1,2013
UNIVERSIDAD AUTÓNOMA DE CHILE,1,1,2013
UNIVERSIDAD BERNARDO O'HIGGINS,1,1,2013
UNIVERSIDAD MAYOR,1,1,2013
UNIVERSIDAD DE PLAYA ANCHA CS. EDUCACIÓN,5,0,2013
UNIVERSIDAD FINIS TERRAE,1,0,2013
UNIVERSIDAD TECNOLÓGICA METROPOLITANA,1,0,2013
UNIVERSIDAD DE ATACAMA,0,0,2013
UNIVERSIDAD GABRIELA MISTRAL,0,0,2013
UNIVERSIDAD VIÑA DEL MAR,0,0,2013
UNIVERSIDAD CENTRAL DE CHILE,5,0,2013
UNIVERSIDAD SAN SEBASTIÁN,2,0,2013
UNIVERSIDAD INTERNACIONAL SEK,1,0,2013
UNIVERSIDAD SANTO TOMÁS,1,0,2013
UNIVERSIDAD PEDRO DE VALDIVIA,1,0,2013
UNIVERSIDAD IBEROAMERICANA DE CIENCIA Y TECNOLOGÍA,0,0,2013
