nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,289,123,2015
PONT. UNIV. CATOLICA DE CHILE,225,108,2015
UNIV. DE CONCEPCION,112,46,2015
PONT. UNIV. CATOLICA DE VALPARAISO,70,33,2015
UNIV. TECNICA FEDERICO SANTA MARIA,50,24,2015
UNIV. DE SANTIAGO DE CHILE,77,31,2015
UNIV. AUSTRAL DE CHILE,68,30,2015
UNIV. CATOLICA DEL NORTE,37,10,2015
UNIV. DE VALPARAISO,33,9,2015
UNIV. DE ANTOFAGASTA,14,2,2015
UNIV. DE LA SERENA,16,3,2015
UNIV. DEL BIO-BIO,30,4,2015
UNIV. DE LA FRONTERA,34,16,2015
UNIV. DE PLAYA ANCHA CS. EDUCACION,6,1,2015
UNIV. FINIS TERRAE,2,1,2015
UNIV. ADOLFO IBANEZ,18,9,2015
UNIV. ANDRES BELLO,49,17,2015
UNIV. DE MAGALLANES,2,1,2015
UNIV. DE TALCA,40,18,2015
UNIV. DE ATACAMA,1,1,2015
UNIV. DE TARAPACA,22,5,2015
UNIV. SANTO TOMAS,6,1,2015
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,11,1,2015
UNIV. MAYOR,3,2,2015
UNIV. ARTURO PRAT,5,3,2015
UNIV. DIEGO PORTALES,39,19,2015
UNIV. DE LOS ANDES,28,11,2015
UNIV. BERNARDO O'HIGGINS,6,0,2015
UNIV. AUTONOMA DE CHILE,48,6,2015
UNIV. UCINF,0,0,2015
UNIV. DEL DESARROLLO,15,5,2015
UNIV. SAN SEBASTIAN,5,0,2015
UNIV. CATOLICA DE TEMUCO,18,5,2015
UNIV. CATOLICA DE LA STMA. CONCEPCION,5,1,2015
UNIV. CATOLICA DEL MAULE,10,1,2015
UNIV. DE LOS LAGOS,17,5,2015
UNIV. TECNOLOGICA METROPOLITANA,4,1,2015
UNIV. ALBERTO HURTADO,17,9,2015
UNIV. CATOLICA CARDENAL SILVA HENRIQUEZ,7,0,2015
UNIV. METROPOLITANA DE CS.DE LA EDUCACION,6,0,2015
UNIV. CENTRAL DE CHILE,4,0,2015
UNIV. ADVENTISTA DE CHILE,1,0,2015
UNIV. ARTES Y CIENCIAS SOCIALES,1,0,2015
UNIV. DEL PACIFICO,1,0,2015
UNIV. VINA DEL MAR,1,0,2015
