nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,204,86,2010
PONT. UNIV. CATOLICA DE CHILE,180,100,2010
UNIV. DE CONCEPCION,95,41,2010
UNIV. AUSTRAL DE CHILE,48,25,2010
UNIV. DE SANTIAGO DE CHILE,62,21,2010
UNIV. TECNICA FEDERICO SANTA MARIA,37,19,2010
PONT. UNIV. CATOLICA DE VALPARAISO,53,13,2010
UNIV. DE LA FRONTERA,20,12,2010
UNIV. ANDRES BELLO,22,8,2010
UNIV. CATOLICA DEL NORTE,22,9,2010
UNIV. DE TALCA,22,9,2010
UNIV. DEL BIO-BIO,17,5,2010
UNIV. DE LOS ANDES,14,4,2010
UNIV. DEL DESARROLLO,11,6,2010
UNIV. DE VALPARAISO,21,5,2010
UNIV. DE ANTOFAGASTA,18,8,2010
UNIV. DIEGO PORTALES,11,2,2010
UNIV. DE TARAPACA,10,6,2010
UNIV. ADOLFO IBAÑEZ,9,3,2010
UNIV. DE LA SERENA,9,3,2010
UNIV. ALBERTO HURTADO,7,3,2010
UNIV. ARTURO PRAT,7,2,2010
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,4,1,2010
UNIV. CATOLICA DE LA STMA. CONCEPCION,8,1,2010
UNIV. DE PLAYA ANCHA CS. EDUCACION,5,1,2010
UNIV. DE MAGALLANES,3,0,2010
UNIV. CATOLICA CARDENAL SILVA HENRIQUEZ,1,1,2010
UNIV. CATOLICA DE TEMUCO,3,0,2010
UNIV. SANTO TOMAS,3,1,2010
UNIV. DE LOS LAGOS,12,0,2010
OTRAS UNIVERSIDADES,32,0,2010
