nombre,n_concursados,n_aprobados,año
PONT. UNIV. CATOLICA DE CHILE,268,113,2016
UNIV. DE CHILE,338,109,2016
UNIV. DE CONCEPCION,144,43,2016
PONT. UNIV. CATOLICA DE VALPARAISO,91,27,2016
UNIV. DE SANTIAGO DE CHILE,92,27,2016
UNIV. AUSTRAL DE CHILE,71,21,2016
UNIV. ANDRES BELLO,60,20,2016
UNIV. TECNICA FEDERICO SANTA MARIA,63,19,2016
UNIV. DE TALCA,55,17,2016
UNIV. DE VALPARAISO,41,13,2016
UNIV. DE LA FRONTERA,46,12,2016
UNIV. DE LOS ANDES,31,12,2016
UNIV. DIEGO PORTALES,40,9,2016
UNIV. ALBERTO HURTADO,17,7,2016
UNIV. DEL BIO-BIO,42,5,2016
UNIV. CATOLICA DE LA STMA. CONCEPCION,9,5,2016
UNIV. CATOLICA DEL NORTE,33,4,2016
UNIV. ADOLFO IBANEZ,33,4,2016
UNIV. DEL DESARROLLO,18,4,2016
UNIV. DE LA SERENA,19,3,2016
UNIV. DE MAGALLANES,8,3,2016
UNIV. DE TARAPACA,23,3,2016
UNIV. CATOLICA DE TEMUCO,22,3,2016
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,7,2,2016
UNIV. AUTONOMA DE CHILE,26,2,2016
UNIV. DE LOS LAGOS,12,2,2016
UNIV. METROPOLITANA DE CS.DE LA EDUCACION,10,1,2016
UNIV. DE ANTOFAGASTA,17,1,2016
UNIV. ARTURO PRAT,3,1,2016
UNIV. BERNARDO O'HIGGINS,7,1,2016
UNIV. CATOLICA DEL MAULE,13,1,2016
UNIV. DE PLAYA ANCHA CS. EDUCACION,11,0,2016
UNIV. FINIS TERRAE,1,0,2016
UNIV. DE ATACAMA,5,0,2016
UNIV. DE LAS AMERICAS,0,0,2016
UNIV. SANTO TOMAS,4,0,2016
UNIV. MAYOR,4,0,2016
UNIV. SAN SEBASTIAN,3,0,2016
UNIV. CATOLICA CARDENAL SILVA HENRIQUEZ,4,0,2016
UNIV. CENTRAL DE CHILE,3,0,2016
UNIV. DEL PACIFICO,2,0,2016
UNIV. TECNOLOGICA METROPOLITANA,2,0,2016
UNIV. IBEROAMERICANA DE CIENCIA Y TEC.,0,0,2016
UNIV. VIÑA DEL MAR,0,0,2016
