nombre,n_concursados,n_aprobados,año
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,140,77,2015
UNIVERSIDAD DE CHILE,138,70,2015
UNIVERSIDAD DE CONCEPCION,79,28,2015
UNIVERSIDAD ANDRES BELLO,31,19,2015
UNIVERSIDAD AUSTRAL DE CHILE,29,11,2015
UNIVERSIDAD DE SANTIAGO DE CHILE,39,11,2015
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA PONTIFICIA,20,10,2015
UNIVERSIDAD CATOLICA DE VALPARAISO,42,10,2015
UNIVERSIDAD DE TALCA,16,7,2015
UNIVERSIDAD DE LA FRONTERA,17,6,2015
UNIVERSIDAD ALBERTO HURTADO,8,6,2015
UNIVERSIDAD DIEGO PORTALES,9,5,2015
UNIVERSIDAD AUTONOMA DE CHILE,27,5,2015
UNIVERSIDAD DE LOS LAGOS,5,3,2015
UNIVERSIDAD DE VALPARAISO,14,3,2015
UNIVERSIDAD DE TARAPACA,2,2,2015
UNIVERSIDAD CATOLICA DEL NORTE,7,2,2015
UNIVERSIDAD DE LA SERENA,5,2,2015
UNIVERSIDAD DEL DESARROLLO,3,2,2015
UNIVERSIDAD DE LOS ANDES,7,2,2015
UNIVERSIDAD DE ANTOFAGASTA,6,1,2015
UNIVERSIDAD DEL BIO-BIO,2,1,2015
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,2,1,2015
UNIVERSIDAD ADOLFO IBAÑEZ,6,1,2015
UNIVERSIDAD DE PLAYA ANCHA DE CS. DE LA EDUCACION,3,1,2015
UNIVERSIDAD METROPOLITANA DE CS. DE LA EDUCACION,1,1,2015
UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,2,1,2015
UNIVERSIDAD CATOLICA DE TEMUCO,3,0,2015
UNIVERSIDAD MAYOR,2,0,2015
UNIVERSIDAD BERNARDO O'HIGGINS,1,0,2015
UNIVERSIDAD CATOLICA DEL MAULE,1,0,2015
UNIVERSIDAD DE MAGALLANES,1,0,2015
