nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,58,36,2012
PONT. UNIV. CATOLICA DE CHILE,45,30,2012
UNIV. DE CONCEPCION,26,19,2012
UNIV. DE SANTIAGO DE CHILE,16,11,2012
UNIV. AUSTRAL DE CHILE,12,10,2012
UNIV. DE LA FRONTERA,14,9,2012
PONT. UNIV. CATOLICA DE VALPARAISO,9,5,2012
UNIV. DE VALPARAISO,7,5,2012
UNIV. ANDRES BELLO,5,4,2012
UNIV. DE LA SERENA,4,3,2012
UNIV. TECNICA FEDERICO SANTA MARIA,4,2,2012
UNIV. CATOLICA DEL NORTE,4,2,2012
UNIV. DE TALCA,2,1,2012
UNIV. ARTURO PRAT,1,1,2012
UNIV. CATOLICA DE LA STMA. CONCEPCION,1,1,2012
UNIV. DE LOS ANDES,1,1,2012
UNIV. DE TARAPACA,1,1,2012
UNIV. DEL BIO-BIO,1,1,2012
UNIV. DEL DESARROLLO,1,1,2012
OTRAS UNIVERSIDADES,2,0,2012
