nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,51,29,2011
PONT. UNIV. CATÓLICA DE CHILE,26,16,2011
UNIV. DE SANTIAGO DE CHILE,14,8,2011
UNIV. DE CONCEPCIÓN,12,6,2011
UNIV. AUSTRAL DE CHILE,8,4,2011
UNIV. TÉCNICA FEDERICO SANTA MARÍA,6,4,2011
UNIV. ANDRÉS BELLO,5,4,2011
UNIV. DE LA FRONTERA,3,2,2011
UNIV. DE TALCA,3,2,2011
UNIV. DE LA SERENA,2,2,2011
UNIV. DE VALPARAÍSO,4,1,2011
UNIV. CATÓLICA DEL NORTE,3,1,2011
UNIV. DE LOS ANDES,3,1,2011
UNIV. DEL BÍO-BÍO,2,1,2011
OTRAS UNIVERSIDADES,13,0,2011
